"","lon","lat","alt"
"225",121.5417,24.97814,23
"226",121.54089,24.96571,26
"227",121.50381,24.94155,351
"228",121.53986,24.98059,25
"229",121.51776,25.00115,19
"230",121.53095,24.9489,66
"231",121.51284,24.96299,31
"232",121.50357,24.94235,147
"233",121.49587,24.95032,54
"234",121.53932,24.98016,25
"235",121.51361,24.96007,31
"236",121.54297,24.96606,100
"237",121.53765,24.98322,25
"238",121.52518,24.97668,18
"239",121.52518,24.97668,18
"240",121.54767,24.96334,100
"241",121.5167,24.96412,25
"242",121.54297,24.96606,100
"243",121.51329,24.96357,31
"244",121.53923,24.98236,25
"245",121.51627,24.97213,60
"246",121.54814,24.97258,36
"247",121.54273,24.96412,100
"248",121.54928,24.96211,100
"249",121.54951,24.96357,100
"250",121.47516,24.95743,147
"251",121.53917,24.97429,25
"252",121.53018,24.9496,66
"253",121.5431,24.97433,36
"254",121.51623,24.96464,31
"255",121.54395,24.98254,23
"256",121.48458,24.95095,106
"257",121.53151,24.97519,18
"258",121.5273,24.97501,18
"259",121.54458,24.97744,23
"260",121.54767,24.96334,100
"261",121.517,24.97073,19
"262",121.51359,24.95885,31
"263",121.54348,24.98203,23
"264",121.51284,24.96299,31
"265",121.54522,24.96968,36
"266",121.53464,24.97886,25
"267",121.51486,24.96731,60
"268",121.53863,24.97433,25
"269",121.54245,24.97937,23
"270",121.54767,24.96334,100
"271",121.53046,24.9746,17
"272",121.5449,24.96945,36
"273",121.53737,24.96515,26
"274",121.52984,24.97371,17
"275",121.53994,24.97305,25
"276",121.54102,24.96772,25
"277",121.5399,24.95425,43
"278",121.51237,24.96322,31
"279",121.53844,24.95618,43
"280",121.51642,24.97026,60
"281",121.54086,24.96581,26
"282",121.53788,24.98118,25
"283",121.549,24.9512,91
"284",121.51844,24.98674,23
"285",121.54464,24.96735,36
"286",121.53644,24.97509,25
"287",121.5431,24.97433,36
"288",121.5399,24.95425,43
"289",121.5428,24.97841,23
"290",121.54348,24.98203,23
"291",121.53471,24.97217,25
"292",121.53711,24.95744,43
"293",121.534,24.95674,43
"294",121.54464,24.96735,36
"295",121.5414,24.9796,25
"296",121.51252,24.96299,31
"297",121.53456,24.99176,16
"298",121.5458,24.97003,36
"299",121.50381,24.94155,351
"300",121.54059,24.98178,25
"301",121.53992,24.96696,25
"302",121.53445,24.97229,25
"303",121.51359,24.95885,31
"304",121.53423,24.97161,25
"305",121.51668,24.96622,25
"306",121.54348,24.98203,23
"307",121.52979,24.97369,17
"308",121.56627,24.9546,86
"309",121.54348,24.98203,23
"310",121.52954,24.94883,66
"311",121.55174,24.95394,76
"312",121.53814,24.97425,25
"313",121.54069,24.97071,25
"314",121.54067,24.96674,25
"315",121.54722,24.97201,36
"316",121.51812,24.9832,14
"317",121.54297,24.96606,100
"318",121.53451,24.97795,25
"319",121.53762,24.98343,19
"320",121.53872,24.95562,43
"321",121.50383,24.93885,351
"322",121.53411,24.98872,19
"323",121.52981,24.97388,17
"324",121.54436,24.97631,23
"325",121.5167,24.96412,25
"326",121.54494,24.97015,36
"327",121.53711,24.95744,43
"328",121.54971,24.97538,23
"329",121.51696,24.97003,19
"330",121.50383,24.93885,351
"331",121.53046,24.94935,66
"332",121.49587,24.94826,107
"333",121.53475,24.97577,25
"334",121.54067,24.96674,25
"335",121.5346,24.99006,19
"336",121.54063,24.96431,26
"337",121.51748,24.98407,23
"338",121.54651,24.96871,36
"339",121.54331,24.96867,36
"340",121.54395,24.98254,23
"341",121.53265,24.97281,17
"342",121.54951,24.97371,36
"343",121.5431,24.97433,36
"344",121.53597,24.98223,25
"345",121.5155,24.998,18
"346",121.5317,24.9711,17
"347",121.5167,24.96412,25
"348",121.47353,24.95719,256
"349",121.54516,24.97585,23
"350",121.54067,24.96674,25
"351",121.53737,24.96515,26
"352",121.51241,24.96324,31
"353",121.50827,24.96143,74
"354",121.51284,24.96299,31
"355",121.54842,24.95204,91
"356",121.54391,24.98085,23
"357",121.52999,24.97417,17
"358",121.54413,24.96853,36
"359",121.54089,24.96571,26
"360",121.55964,24.95505,86
"361",121.54022,24.983,25
"362",121.54093,24.97345,25
"363",121.53408,24.98872,19
"364",121.54086,24.98182,25
"365",121.53666,24.97913,25
"366",121.51222,24.96182,31
"367",121.55254,24.95153,76
"368",121.51531,24.96464,31
"369",121.53119,24.97544,18
"370",121.51237,24.96322,31
"371",121.54348,24.98203,23
"372",121.53956,24.95591,43
"373",121.54196,24.96628,100
"374",121.53059,24.9748,17
"375",121.54245,24.97937,23
"376",121.55011,24.96165,191
"377",121.51649,24.96447,31
"378",121.53756,24.95836,26
"379",121.54634,24.97077,36
"380",121.54458,24.97744,23
"381",121.54348,24.98203,23
"382",121.53981,24.98298,25
"383",121.51597,24.93207,277
"384",121.53889,24.97845,25
"385",121.50342,24.94297,147
"386",121.54026,24.983,25
"387",121.5317,24.9711,17
"388",121.51462,24.96042,31
"389",121.51353,24.95957,31
"390",121.5423,24.96756,36
"391",121.5435,24.97151,36
"392",121.55387,24.95155,76
"393",121.53874,24.97927,25
"394",121.53408,24.98872,19
"395",121.4963,24.95544,54
"396",121.53842,24.974,25
"397",121.55063,24.97198,100
"398",121.53406,24.99156,19
"399",121.51649,24.96447,31
"400",121.52984,24.97371,17
"401",121.53863,24.97433,25
"402",121.51254,24.96305,31
"403",121.52981,24.97388,17
"404",121.53966,24.98353,19
"405",121.54348,24.98203,23
"406",121.53765,24.95663,43
"407",121.54026,24.97293,25
"408",121.55964,24.95505,86
"409",121.51243,24.9633,31
"410",121.50381,24.94155,351
"411",121.5431,24.97433,36
"412",121.53986,24.97923,25
"413",121.54067,24.96674,25
"414",121.5431,24.97433,36
